Bandwidth,fitness_sums_HC_IRS_RA,fitness_sums_HC_IRS,fitness_sums_GA_IRS_RA,fitness_sums_GA_IRS,fitness_sums_RS
1,1929845.6640168852,1871088.798189708,513052.642706109,276028.168599196,556553.9808448058
2,280492.42126955,281633.7005472764,231630.11852620408,156707.84896688184,313654.538513926
3,175469.78547459346,193836.79397898575,173889.45585934963,109218.14606217193,233373.4962905363
4,135166.27453304746,163032.2989846656,135411.92489141884,84833.48976042416,204367.94999721425
5,117356.77382280322,180424.39558118256,107173.85353098152,73493.34961031932,172338.14624288783
6,103425.17220128275,110399.63935453785,94447.13373363602,67771.25541105738,155606.93549977406
7,75373.7371330805,127386.28110101187,83246.36204894417,56153.82577299605,154811.13921532113
8,75663.19515196464,91316.93783506025,73441.41631473732,52368.77407871817,136501.6306691183
9,61139.37812123288,85554.2427764004,72673.64536634172,50819.64259162884,121842.59407885133
10,70121.58573673037,74261.47043888482,65834.31992672975,42692.38658548014,117199.46960834958
Fitness Improvement,30.17203004449002,42.51071742430037,35.15177701691975,0.0,63.57288413663723
