Bandwidth,fitness_sums_HC_IRS_RA,fitness_sums_HC_IRS,fitness_sums_GA_IRS_RA,fitness_sums_GA_IRS,fitness_sums_RS
1,238825012.85770544,3706426.4460421437,868961.5827628017,442342.50720667606,968079.493986798
2,2957727.2073651273,1033614.5883042503,439182.4684037881,240468.18347803666,568539.6919157553
3,319458.25035443116,764988.7143306353,281717.6814846361,160737.46057936922,395416.6615069193
4,239101.98320687845,307469.1422824885,227924.14160122996,126591.19878176006,324670.16877498233
5,197703.3504206223,229258.22977929143,185282.28865557635,110244.18461268487,264378.8358684035
6,188227.83513072337,185052.41612922162,164658.54740569936,87933.21987687584,240000.33401963362
7,148522.816826283,236502.33535782943,142858.35669443494,84788.32248740303,214104.5863464196
8,129855.03518440168,165127.53770689946,126780.32572332254,71917.64128117144,192142.6278040649
9,107938.45285592516,151948.5356277183,108114.74108186467,64763.54522769155,174359.56202639884
10,104046.10912940744,126590.45804045943,101786.69370261172,61790.39668198857,185208.1556682306
Fitness Improvement,40.61248690699553,51.18874073254415,39.29422949671554,0.0,64.56150958177263
