IRS_Elements,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
10,36279.87015694978,39340.85543345919,46004.909639554724,37077.064006300556,90520.41018350191
15,44423.350528521034,54638.28450924161,48621.099322902,41526.856512949176,100813.19820824992
20,60532.7498384298,59773.40906925041,57761.85898809496,42182.510596074106,111383.53086137914
25,61031.3124806667,68736.9630250915,68703.8792776931,46014.05645384011,119353.28784370856
30,68784.22694769099,77542.91649385708,69994.88122610482,50306.267767401165,131796.0299189546
35,78322.73055032305,92977.58671232505,76332.13357379551,47554.471654005625,135773.92132105338
40,89462.05555467671,103560.45726081153,82845.2270235937,51034.74374317384,148541.65627214807
45,98962.91244878598,103488.67845088824,93380.83820852029,56264.6747689309,161568.47710027493
50,105062.635386771,118163.99516748363,109261.79125970165,61306.07468962608,179951.72005796595
Fitness Improvement(%),32.60344748901593,39.675193909935764,33.64032345476129,0.0,63.27321348343536
