IRS_Elements,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
10,57582.684046079834,72881.55729527818,60005.35414399904,68854.17374917024,95091.25207328018
15,149699.73572659626,85014.54828778203,75149.45379103185,58891.95674072347,118179.74932662856
20,119950.73667667602,128987.63721063561,73279.16394754787,70366.72647005823,165744.0671631755
25,380936.08274480666,103203.25500841791,87712.12575932386,70086.53018752471,177388.61352496032
30,194753.2198471018,104189.21546557097,94075.59214354056,73083.68534142445,161043.35091735004
35,190145.1160525698,213951.0767879412,105940.04693204595,85788.38445608164,172630.46086717927
40,172824.78001036472,185369.43196958437,112044.48531640749,83336.38465470461,181702.029073075
45,245417.69206867088,164497.37455179662,123673.11375992911,92212.52833580102,191540.95722638923
50,334392.83593966847,376991.70498117025,129446.73999377193,95602.6202120157,196195.07448739992
Fitness Improvement(%),62.17034732209753,51.34625474035124,18.936276309869278,0.0,52.16063385426361
