Time Delay,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
1,98541.52519836993,395485.34534585255,60054.45467522311,42538.124014639616,128554.82744657571
2,64304.27648355589,71338.29590317688,57159.10078868112,42246.52857099491,123355.52148321694
3,62695.52118628213,79799.57970230751,64028.59007900489,42865.5564130019,122473.40819584762
4,62689.32558292171,68588.06661304226,61297.808749381795,44206.859323231016,116802.39142561637
5,61280.94048680691,66220.91544500916,62451.30095219202,45173.05680416728,125707.19755366801
6,59780.30547575893,78390.09297203524,64874.40119270336,42768.65208535348,113546.81577424187
7,65197.289758415194,66417.5039361783,65928.220353711,42460.61904282702,123155.069723389
8,63766.63780346521,68013.50799851425,59549.96580918685,42186.28758990556,115646.66610177644
9,60765.18116429434,82746.38345678091,59778.25195905386,42979.79509905377,125339.98835116738
10,65206.64436303019,63501.98842314224,62578.091576386185,44054.9309797137,119250.11161429349
Fitness Improvement(%),29.431127435418997,33.56698170016442,26.194976814156846,0.0,62.84678940378042
