Time Delay,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
1,396513.29710446263,495340.2691330479,138228.8023254972,62986.46652192432,221351.8441514882
2,122433.59072523867,122918.99121639122,102375.67076526367,61964.72145179953,166830.15561117118
3,106929.36834289294,132698.73528818667,97465.15030799234,61179.51034585495,170781.77522858523
4,108603.801993343,133750.72614207352,108485.07356259626,62096.68692065648,174476.13156758397
5,108559.87709650003,127252.35767809908,98101.95230612671,62840.75445620167,174146.83620522814
6,102526.97296988207,124735.21026704388,102295.96414002313,62284.49357396479,169819.68778864626
7,106587.39765794389,143362.63163781253,106910.41959542951,61821.308628002465,160524.0088134581
8,107624.7541024949,125015.52686186234,101715.15741409968,64767.54356602527,162410.74012060784
9,106905.04703636855,128018.332435915,99387.12740958523,65130.284988974454,167715.0306603578
10,145160.462061617,138138.6397620287,105687.38388359561,60675.73955108498,166610.25931380628
Fitness Improvement(%),40.81972987839127,50.637619988054475,37.74622071648368,0.0,62.20145509722778
