D_m_value,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
0.1,26210.468168008232,27079.949444120997,26231.349791615226,22994.541359080147,76139.52553746643
0.2,34983.58952739838,41429.35765447018,41333.79488030581,27896.03562429638,86793.0135233239
0.30000000000000004,43550.31934309117,57693.22286014963,52361.17367863667,33531.860912379074,101443.01425959714
0.4,52096.52705269865,53684.388370514906,59060.78856877714,38647.347214552945,115345.3193700241
0.5,64232.39354700278,68712.76852542255,68880.86887711864,44717.99987862585,120437.31095348069
0.6,66723.59137408133,82098.15095896907,80164.02634985567,48694.0814692958,129481.7210804437
0.7000000000000001,85952.52682102348,99297.78625357717,87565.17648248834,55416.990696497814,144352.18996366384
0.8,89278.10096892458,102752.48476131217,92464.37357128432,60953.61479814508,156009.93411975616
0.9,101851.3485513609,118933.86896613966,104746.92377029533,63833.08747187558,157534.0818011604
1.0,114257.83376696109,122024.05701230094,107486.74828731566,69345.13210667882,171478.0755179972
Fitness Improvement(%),12.269627495068386,15.086468656343019,12.339465785209862,0.0,69.79946854572256
