Generation,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
1,3303533.376803006,2828472.8648214675,879318.419154482,788364.5421421403,1917313.013921496
2,2916475.691051949,2538764.397657149,799713.2434212705,643537.9469865218,1637533.5836122087
3,2245172.685039099,2157016.4643476186,743585.6330329842,582933.4202667967,1361877.8802440413
4,1848877.1634041783,2005819.9589299369,705297.6261469179,526728.6001363694,1268847.6802603551
5,1735528.3602491154,1719642.087017632,664368.2150854026,490100.9339952501,1223290.52272324
6,1564138.4945747692,1404857.6180521753,641455.9108366617,474162.1790966337,1145782.881592218
7,1323226.4391610776,1221412.01356856,612708.2745637989,461995.30408145004,1118485.8563618518
8,1011153.1330028349,1090974.5004768965,601983.457241039,438320.3453421082,1103751.4229449746
9,915705.3061657365,1039256.4186526139,587817.1404590236,420921.0023135036,1094075.4424647999
10,878388.8104934004,997535.3545480364,572608.5574623699,407594.01911081263,1079433.3876327286
11,798591.5864287323,963496.8478250387,565614.2909242751,399575.9543271082,1063649.208202073
12,755503.1385264193,905166.7560646656,553902.9182859801,389292.8528861781,1057556.4339580208
13,729243.9173562581,891236.8433087853,542819.0147943334,383843.6400025067,1028194.1025892831
14,717385.4367497659,877728.6549899874,533235.9006426543,375271.68136585923,1020488.5999422354
15,672860.1111175171,857635.132592427,528200.254506175,368595.0570052825,1018039.4065941587
16,655341.8457656868,847218.1340033794,521532.90394569177,363880.8232827798,1014723.3189365189
17,635535.5946538027,830944.5069664954,517412.7932084937,360146.2413859825,1013938.7720818159
18,615884.402621657,824794.9196450182,511978.41247900977,358523.06650447595,1010361.8970976402
19,610778.2379305889,815251.1871705144,506840.0245413901,354260.10504588677,1008861.6391432747
20,606319.6317707023,806680.9536160225,503752.9721956727,351168.22030536324,996008.3659213672
21,595851.2488363264,794835.9404134885,502451.74305593927,349075.2504589848,996008.3659213672
22,577953.070258407,789186.9068479791,500667.9582652464,345715.1723350837,991708.1952719684
23,564461.0625221822,780207.3823845614,498060.39423207234,343772.4296395146,990066.1413923721
24,552843.2972407361,776027.8718171837,496036.3115767894,340583.4301924131,981283.0080233539
25,547783.0146307809,769732.7653718846,493132.0060911541,339160.45080620394,979870.3540875356
26,546302.5779908266,761990.502603828,492147.56722804724,336745.77986580046,975573.900065893
27,544356.7934074397,754650.9596615158,490647.38259703503,334945.93758309033,970170.0495062524
28,542172.3172528121,752393.316644664,488244.9734902886,333208.9044163158,970170.0495062524
29,540922.2567851035,751016.7929993694,486516.2597568125,331956.8749375599,964859.2168720361
30,539734.2428658346,747072.1372377486,485256.59049989434,330604.7185310724,964859.2168720361
Fitness Improvement(%),38.74675863149691,55.74661374021227,31.870122940423133,0.0,65.73544484522257
