Generation,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
1,2604414.8453704244,3870695.9834919074,1230857.6304370582,942720.3602703388,2378871.8317290354
2,2200614.9071165062,3493572.8871913664,1136351.1532274182,778304.2218332102,2028274.9186821415
3,1980225.585929214,2978391.1315309717,1058766.6745518134,712985.0197088809,1900490.015126259
4,1863899.3315911635,2850047.4957266133,1008210.6613377535,649155.0611441797,1860263.9310296983
5,1645486.1384049787,2644519.5070480076,978760.9814490362,609555.2375601975,1817540.2466885499
6,1468960.2399645124,2287283.001869308,958261.0791162947,591973.4085268611,1740928.5586145935
7,1409763.0194729944,2136011.2879318376,926841.2142083655,569946.9344818621,1634113.4162432437
8,1272218.9197147188,1961217.0892554508,911722.4978028284,558903.5525971057,1568774.1154132693
9,1175746.0855213783,1765776.6444629303,903548.41836591,549467.0261790934,1555632.6554932536
10,1123099.9442055153,1703933.7646384058,895851.6316548284,543438.2973310059,1552252.7236808164
11,1083126.6773363575,1541404.4994631556,888396.9647691646,535568.7747863792,1523352.5606608603
12,1039954.3316849071,1488062.2206516843,879549.5686255093,528651.4043594307,1514628.8778495821
13,1008618.4195708978,1445313.5365942845,871263.0713044993,524851.9750828753,1507129.583740245
14,988985.4063744973,1418454.8254416105,865763.778020897,520775.8491122514,1499795.8829227276
15,982532.3592238661,1353333.903777555,860883.6225030785,518139.9995208524,1485752.4588521605
16,956492.471949112,1307038.1831907874,859579.709466174,515018.0727449524,1464579.0841794785
17,927736.7982456142,1287972.6769589854,855852.1873434945,511820.88138349494,1461216.827786336
18,927566.193556913,1257223.8946883394,853364.0021949004,509662.19163333863,1444547.0138369862
19,919748.8483703597,1245566.2177290486,850526.4511820354,506997.04821715463,1437231.0314172378
20,909471.6035472617,1229253.3951748665,848597.7557272639,505742.18316852953,1429136.9915083975
21,903731.2935808831,1182371.290540512,846403.8464984667,503940.0830705936,1425677.5575401809
22,901174.3104057768,1146010.1148093245,845271.1261949756,502485.3987988618,1424802.6808659385
23,884934.6197167527,1139103.9575075882,843347.3414363097,500832.46324906923,1416671.8673232656
24,872494.1670167502,1128625.4600007897,842541.5134693076,499606.1869375145,1415736.9933764588
25,866118.9764945722,1120312.836107019,842154.7472272094,498708.3007904088,1412329.341717956
26,863767.450874279,1112943.3894382226,841451.8940843677,497686.7995356759,1410897.6113885029
27,859868.660348918,1110155.4914057932,838860.0850475769,496182.01066828496,1410897.6113885029
28,857940.0541735636,1108715.7421240255,838157.1698257198,494866.8224646258,1404868.246298279
29,850394.534700874,1105384.7427877535,836475.227182792,494430.16085748107,1403115.6654049286
30,849440.6260288492,1102700.4037240997,834498.3906847516,493678.131196007,1395901.6367402931
Fitness Improvement(%),41.881973139904844,55.23007613593589,40.841332145539894,0.0,64.63374508616214
