p_max_value,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
1,155900.39427006184,261309.56051388825,112467.8208845971,113375.97851906004,165305.93822153492
2,1329640.1177643754,246227.8849817501,111152.18793510404,115069.5525900202,153294.26302798046
3,349683.44956425193,1111303.763316592,105874.08879538676,118314.89112931486,137552.85153574092
4,204590.09044463676,118483.71982324187,100015.59945401188,116265.7881033519,134831.6740171819
5,76677.8114639633,110630.30839300063,92718.1155351285,115207.9531858874,131811.96437575543
6,80739.58448534342,72191.93510327398,83494.2198991142,116288.65366829777,113053.43574473228
7,62091.98256409218,126413.69052697287,70802.66310312109,112276.20243884284,122155.7391506868
8,66217.79205189647,67682.39011752563,65113.54994043987,95783.21227313942,120084.53750047793
9,57663.54922216168,73507.39559699813,65931.41282960492,96007.93540733769,121026.43003120818
10,57682.05188676542,76043.29276016387,63214.66081088921,95967.90865111948,117746.7614921407
Fitness Improvement(%),-66.10703566669689,-41.51866106799526,-51.5205666604479,0.0,15.276159771550834
