p_max_value,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
1,194604.94536893893,184778.91542225698,101562.57046083221,104893.9532574708,124531.28296636134
2,196895.1583983387,212211.2308181222,98060.46185604057,98831.08750148876,138798.05617104808
3,744426.5541140125,844811.938652917,100447.72629291406,101657.66834575718,126637.96125867864
4,197438.4051031224,161992.050184284,96530.33320689615,105122.85627036064,145282.02258428306
5,198775.20306973814,176615.4740976735,104969.91012448199,99538.86545987491,136229.5810526176
6,184420.16171387534,426955.9933474506,95643.86535621026,107620.05971987924,135797.58167757496
7,227559.79588617873,198365.39117199232,101017.2987197151,102855.77185413144,130143.79603123527
8,284900.22078799515,191311.8369193119,98065.54058302009,107191.36593753844,149467.39624760475
9,309086.83380225464,179097.00561816088,105070.88429177586,91012.25161594353,137322.40438880117
10,175130.25690414687,241281.28246602244,101174.16273664495,104698.62458544967,142668.71350210684
Fitness Improvement(%),62.28039413099735,63.6752029096462,-2.0826793514583466,0.0,25.127048013881925
