p_max_value,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
1,515607.5660355408,410644.1456505059,161449.60559373282,163124.45737357228,485824.2834601292
2,475791.2786344382,250959.6080474598,162523.79923102702,157056.43588903086,464267.4250036016
3,264820.2364352826,291499.9650501531,152909.83215411942,161075.11376997942,432406.96128800523
4,2492619.6783885453,306718.30403007497,160132.13360755402,164595.7102533495,414835.1656663077
5,344963.9796185297,321224.2516919255,155661.92851965065,160574.15494513366,283643.2797075749
6,174065.36424843073,300663.67965941335,151625.122358676,161648.3975917978,271511.7979774891
7,222930.48495064292,244760.1678385638,138830.83298539967,162552.6324269037,276175.1418050603
8,378699.63652488624,252879.79515899537,135690.46508521406,162911.2431444073,240991.95690312306
9,209435.4002718692,353009.1199636105,137051.37105683354,154756.78821221183,202814.52707880986
10,242950.47221905715,263923.50153225823,124716.32916163048,154051.3033983171,213617.1588971102
Fitness Improvement(%),69.89137291040517,46.522191537347,-8.223390709039034,0.0,51.23848222055384
