Generation_HA,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_IRS_RA,Fitness_Sum_IRS,Fitness_Sum_RS
1,2842626.8266103095,3018590.0554933357,871443.2589273587,712695.8778739609,1634868.1514103005
2,2379968.9890292194,2824684.035943066,778601.0709619358,608884.0329817068,1467817.8634668433
3,2240697.6727196127,2546291.3326108945,725674.7614401144,542474.4860828436,1326269.6219047073
4,1788053.4923161343,2318656.2160104127,675416.4207991924,482383.5297919655,1264782.0911461092
5,1549198.8697932526,2115197.669430676,630783.5739883195,449422.724245152,1238838.448666192
6,1255023.389257682,2033824.4739042884,609325.298783948,426388.87033823674,1212015.296542396
7,1062594.082152913,1923175.60165073,589516.9405716092,410028.08222372475,1196060.8942980804
8,1001003.88529562,1853002.468817238,576893.1106874724,388118.5480493743,1165209.9925025979
9,914353.3958633445,1750304.1642883613,567923.568103221,377642.481410609,1119319.577748342
10,863692.7717964035,1665606.338768949,555805.9777983376,367178.83082045236,1119319.577748342
11,806993.8160441364,1476405.9385721062,547987.9692050589,359758.0133776005,1109214.4186533592
12,748920.7668712074,1393581.9137783493,539296.249327137,354076.6938366011,1095780.1573406607
13,685439.9721464006,1280324.5404389044,532378.8973438386,349073.910810646,1077263.0512748826
14,675946.2101872563,1226638.3350378573,527550.6421064085,346292.86881161126,1052552.5295545124
15,640942.854543238,1134796.6867084862,521993.83876984054,340977.6891283859,1048968.0449203625
16,634189.1900419797,1057956.2200535564,517547.68346326426,338294.41223909816,1044976.2341225022
17,614352.5025816293,986671.8653985832,512941.51314792293,334603.60958448576,1044976.2341225022
18,608514.075259736,954258.0773360657,510800.14079412806,331663.02907723596,1039671.2455733039
19,600743.7630311514,916427.4843641259,506117.6346592437,329179.44553683384,1036340.1609394287
20,589541.0704625339,882009.8133870423,503180.9554498976,326498.0222590099,1031395.5446777663
21,577471.1893817382,856674.1063743006,501694.38065893966,324846.8970163205,1028894.8826116539
22,571339.2754817709,837373.066480322,499889.6396350512,322282.9344955534,1018944.0687788659
23,564901.664921259,817298.3549351825,498942.36256711395,321579.8830785285,1011888.5727202821
24,560244.3985080344,808767.8320314888,498314.41080673476,319795.23231261753,1008556.2947762689
25,555604.3639578116,804653.4785066532,497430.12007571163,317770.465569018,1008556.2947762689
26,548272.1112580504,749165.940966029,496233.68592251674,316447.32906167983,1008556.2947762689
27,546366.3577986187,745135.0664742347,494385.08153405064,315098.8610973567,1007210.5301688729
28,542049.2563151218,741116.5334336144,493593.0403535255,314049.34673067194,1002008.4579365252
29,539500.5287089649,712533.726429779,492061.8731060225,313331.90257821913,1000911.93438861
30,533481.7163666575,708141.6267642018,491382.8438377001,312091.73372501717,1000911.93438861
