Generation_HA,Fitness_Sum_HC_IRS_RA,Fitness_Sum_HC_IRS,Fitness_Sum_IRS_RA,Fitness_Sum_IRS,Fitness_Sum_RS
1,3070690.8278706707,3941046.1725666984,1308753.6391403028,1005492.5743416274,3333008.7636589003
2,2877052.219675372,3851272.714913135,1220969.8907099778,831074.9578033744,2261684.8714271183
3,2608719.7233172907,3546295.4052989245,1152643.7610119262,730148.9771485145,1901377.537603057
4,2407109.0935557163,3329465.3956523584,1094152.5745675715,667951.9035138467,1792094.0340320633
5,2248146.651459161,2906631.867601423,1044997.8647438074,632294.4517279697,1732546.1782805389
6,2033010.2426560982,2654755.834422553,1014099.6382447105,602368.3911015866,1714217.7470378845
7,1809759.2852413533,2554951.1150834486,990517.2857430188,581706.0921304332,1687124.2440931664
8,1679518.7332477863,2438066.7264549225,970725.1595587295,565929.229495466,1653722.701960157
9,1618320.0319171734,2200223.15689627,951549.906267535,556133.5176528307,1640511.4168741845
10,1467897.5578038967,2060803.5282070772,944310.9339433352,550584.4850176211,1578383.3651236854
11,1428270.1225702325,2008391.8475685627,931040.0819809163,542265.3267982043,1560771.5660781679
12,1376327.480023878,1924183.5427832266,918014.2530066265,531511.7526995672,1560771.5660781679
13,1328240.940262418,1796389.199517118,910672.5460793365,529050.8738532771,1539394.7372373727
14,1279363.241715184,1738463.0417910148,905433.9658084614,523235.4797167396,1531669.5238812275
15,1216003.5569150466,1667088.6715852323,903344.0973929564,519966.354994625,1524474.6444567416
16,1183845.7062732987,1631914.97751186,900499.3938267956,514957.71918290615,1519757.182369414
17,1177606.5151595676,1575817.3711076912,896864.8144663566,513144.49184982176,1507335.3462465887
18,1158583.9889106043,1546883.9157284999,894199.282712286,509938.66941622476,1499583.3235761065
19,1140750.7699973786,1456188.7245636766,892520.6131668546,507075.764445373,1483757.8159054162
20,1112364.258241606,1422406.7715552812,888846.5960402939,504752.61474289413,1471114.7508413715
21,1097004.7154892506,1405714.1377904122,884786.4625295544,502310.2137809799,1471114.7508413715
22,1074883.2784069309,1394085.3237392537,882904.6484593322,500964.3942868165,1466943.407263696
23,1073935.1298666906,1391048.1137535684,879864.0152070093,499702.8334099525,1459004.5251427016
24,1071175.8945562579,1372600.6814205763,877809.2192921342,498755.3283560363,1457064.7292911422
25,1049350.328279978,1367718.0443297587,875192.8832212092,497510.24849634466,1449311.7610606393
26,1019440.4302249546,1360374.0788620457,874802.0941097554,496000.11471219384,1438555.1384299232
27,1006680.9350601898,1344620.866952104,873643.2009803831,494953.76784084877,1434713.4819075149
28,967804.3601789668,1284087.0077858388,873206.9626211742,494091.50716446084,1428660.3782390454
29,959024.388168368,1263379.443103526,870742.2026902183,492543.3514999311,1426658.2229641697
30,951227.9261819958,1262328.7084783642,868901.3315022553,492171.3175927972,1424000.1716378531
